city_country,display_name,address,latitude,longitude,company
Luzern-Land,Migros-Supermarkt - Luzern - Allmend,"Zihlmattweg 46, 6005 Luzern, Switzerland",47.031372499999996,8.3045821,Migros
Luzern-Land,Migros-Supermarkt - Luzern - Grossmatte,"Luzernerstrasse 143, 6014 Luzern, Switzerland",47.049070799999996,8.2620816,Migros
Luzern-Land,Migros Daily - Luzern - Bahnhof Daily,"Zentralstrasse 7, 6003 Luzern, Switzerland",47.049482999999995,8.309627299999999,Migros
Luzern-Land,Migros-Supermarkt - Weinbergli Luzern,"Tribschenstrasse 62, 6005 Luzern, Switzerland",47.0423617,8.3167226,Migros
Luzern-Land,Migros-Supermarkt - Ebikon - Mall of Switzerland,"Ebisquare Str. 1, 6030 Ebikon, Switzerland",47.0935442,8.3581326,Migros
Luzern-Land,Migros-Supermarkt - Kriens - Hofmatt,"Luzernerstrasse 30, 6010 Kriens, Switzerland",47.033814299999996,8.2828503,Migros
Luzern-Land,Migros-Supermarkt - Luzern - Schlossberg,"Friedentalstrasse 6, 6004 Luzern, Switzerland",47.0612711,8.3077733,Migros
Luzern-Land,Migros-Supermarkt - Emmenbrücke - Sonnenplatz,"Sonnenpl. 1, 6020 Emmen, Switzerland",47.0778974,8.275323799999999,Migros
Luzern-Land,Migros Cooperative Lucerne,"Industriestrasse 2, 6036 Dierikon, Switzerland",47.097366,8.363616,Migros
Luzern-Land,Migros-Supermarkt - Eichhof Kriens,"Langsägestrasse 21a, 6010 Kriens, Switzerland",47.0389419,8.295709,Migros
Luzern-Land,Migros-Supermarkt - Kriens - Mattenhof,"Am Mattenhof 2, 6010 Kriens, Switzerland",47.0275961,8.300860199999999,Migros
Luzern-Land,Migros-Supermarkt - Ebikon - Ladengasse,"Zentralstrasse 16, 6030 Ebikon, Switzerland",47.0807395,8.3408888,Migros
Sursee,Migros-Supermarkt - Surseepark,"Bahnhofstrasse 28, 6210 Sursee, Switzerland",47.1729202,8.1021966,Migros
Kt. Uri,Migros-Supermarkt - Bürglen/Altdorf - Urnertor,"Urnertor, Gotthardstrasse 67, 6460 Altdorf, Switzerland",46.8727302,8.6513767,Migros
Kt. Uri,Migros-Supermarkt - Altdorf,"Gitschenstrasse 14, 6460 Altdorf, Switzerland",46.8796664,8.641610499999999,Migros
Kt. Uri,Migros-Supermarkt - Erstfeld,"Gotthardstrasse 144, 6472 Erstfeld, Switzerland",46.825151999999996,8.650065999999999,Migros
Kt. Uri,MM-Markt Urnertor,"Gotthardstrasse 67, 6460 Altdorf, Switzerland",46.8727127,8.6514277,Migros
Kt. Uri,Einkaufscenter Urnertor,"Gotthardstrasse 67, 6460 Altdorf, Switzerland",46.872689,8.6508808,Migros
Kt. Uri,Migros-Supermarkt - Ibach-Schwyz - Mythen-Center,"Mythen-Centerstrasse 18, 6438 Ibach, Switzerland",47.015411099999994,8.645852999999999,Migros
Kt. Uri,Migros-Supermarkt - Brunnen - Bahnhofsmärcht,"Bahnhofpl. 19, 6440 Brunnen SZ, Switzerland",46.9999228,8.6088524,Migros
Einsiedeln,Migros-Supermarkt - Einsiedeln,"Eisenbahnstrasse 2, 8840 Einsiedeln, Switzerland",47.128716499999996,8.7460364,Migros
Gersau,Migros-Supermarkt - Goldau,"Parkstrasse 25, 6410 Goldau, Switzerland",47.0508646,8.5510506,Migros
Gersau,Migros-Partner - Weggis,"Luzernerstrasse 44, 6353 Weggis, Switzerland",47.0340043,8.4259411,Migros
Gersau,Migros-Supermarkt - Buochs,"Ennetbürgerstrasse 45, 6374 Buochs, Switzerland",46.9777728,8.4155374,Migros
Gersau,Migros-Supermarkt - Küssnacht - Rigimärt,"Siegwartstrasse 11, 6403 Küssnacht, Switzerland",47.083948,8.441486099999999,Migros
Gersau,Migros-Supermarkt - Unterägeri,"Zugerstrasse 32, 6314 Unterägeri, Switzerland",47.138099,8.5794405,Migros
Gersau,Migros-Supermarkt - Stans - Länderpark,"Bitzistrasse 2, 6370 Stans, Switzerland",46.9653342,8.354756799999999,Migros
Gersau,Volg,"Seestrasse 73, 6354 Vitznau, Switzerland",47.009256,8.4835332,Volg
Gersau,Migros-Supermarkt - Wylpark Hergiswil,"Seestrasse 43, 6052 Hergiswil, Switzerland",46.9871367,8.3123934,Migros
Gersau,Migros-Supermarkt - Horw,"Gemeindehauspl. 14, 6048 Horw, Switzerland",47.0189151,8.3088191,Migros
Gersau,Rigirunde,"Rotflüelen 1, 6442 Gersau, Switzerland",47.0087279,8.515462,Others
Gersau,Migros-Supermarkt - Richterswil,"Schützengass 4, 8805 Richterswil, Switzerland",47.206497999999996,8.705487,Migros
Schwyz,Mythen Center Schwyz,"Mythen-Centerstrasse 18, 6438 Ibach, Switzerland",47.015618599999996,8.6463299,Migros
Schwyz,migrolino Ibach,"Gotthardstrasse 100, 6438 Schwyz, Switzerland",47.0148234,8.6451727,Others
Schwyz,Genossenschaft Migros Luzern,"Mythen-Centerstrasse 15, 6438 Ibach, Switzerland",47.0161624,8.6457423,Migros
Kt. Nidwalden,Migros-Supermarkt - Oberdorf,"Wilmatt 1, 6370 Oberdorf, Switzerland",46.959722,8.386066999999999,Migros
Kt. Nidwalden,VOI Stans,"Marktgasse 2, 6370 Stans, Switzerland",46.9565347,8.366329,Others
Kt. Nidwalden,Migros-Supermarkt - Engelberg,"Klosterstrasse 5, 6390 Engelberg, Switzerland",46.820706,8.405717,Migros
Kt. Nidwalden,VOI Alpnach,"Brünigstrasse 29, 6055 Alpnach, Switzerland",46.9398882,8.2710052,Others
Kt. Nidwalden,Einkaufscenter Länderpark,"Bitzistrasse 2, 6370 Stans, Switzerland",46.964878,8.355131,Migros
Kt. Glarus,Migros-Supermarkt - Glarus - Zentrum Glärnisch,"Schweizerhofstrasse 6, 8750 Glarus, Switzerland",47.0405467,9.0709422,Migros
Kt. Zug,Migros-Supermarkt - Zug - Metalli,"Baarerstrasse 22, 6300 Zug, Switzerland",47.173133299999996,8.5182252,Migros
Kt. Zug,Migros-Supermarkt - Grienbachstrasse Zug,"Grienbachstrasse 11, 6300 Zug, Switzerland",47.1841158,8.522753,Migros
Kt. Zug,Migros-Supermarkt - Zug Herti,"Hertizentrum 10, 6300 Zug, Switzerland",47.178032099999996,8.5059051,Migros
Kt. Zug,Migros-Supermarkt - Zug - Grabenstrasse,"Grabenstrasse 5, 6300 Zug, Switzerland",47.1652756,8.515132,Migros
Kt. Zug,Migros-Supermarkt - Steinhausen - Zugerland,"Hinterbergstrasse 40, 6312 Steinhausen, Switzerland",47.192477499999995,8.4769179,Migros
Kt. Zug,Migros Take Away - Zug - Metalli,"Baarerstrasse 22, 6300 Zug, Switzerland",47.1731163,8.5182469,Migros
Kt. Zug,MMM Einkaufszentrum Zugerland,"Hinterbergstrasse 40, 6312 Steinhausen, Switzerland",47.1920992,8.4785212,Migros
